# wavelength   electrons_per_sec       
  599.982      0.453741                
  600.255      0.45561599999999997     
  600.528      0.453877                
  600.8        0.45031                 
  601.073      0.44609                 
  601.345      0.440518                
  601.618      0.437558                
  601.891      0.43676                 
  602.163      0.437162                
  602.436      0.439272                
  602.708      0.442354                
  602.981      0.44671                 
  603.254      0.450192                
  603.526      0.451704                
  603.799      0.451316                
  604.071      0.450034                
  604.344      0.44765                 
  604.617      0.446154                
  604.889      0.445589                
  605.162      0.445165                
  605.434      0.4448                  
  605.707      0.444564                
  605.98       0.44476                 
  606.252      0.445731                
  606.525      0.44685800000000003     
  606.798      0.447349                
  607.07       0.447411                
  607.343      0.447015                
  607.615      0.44581800000000005     
  607.888      0.444408                
  608.161      0.44357699999999994     
  608.433      0.44313199999999997     
  608.706      0.442835                
  608.978      0.44269699999999995     
  609.251      0.44296699999999994     
  609.524      0.44355900000000004     
  609.796      0.443649                
  610.069      0.443497                
  610.341      0.442925                
  610.614      0.442065                
  610.887      0.44134                 
  611.159      0.441316                
  611.432      0.441294                
  611.704      0.441255                
  611.977      0.440819                
  612.25       0.439677                
  612.522      0.438091                
  612.795      0.43661                 
  613.068      0.436408                
  613.34       0.43955                 
  613.613      0.445416                
  613.885      0.451235                
  614.158      0.45692900000000003     
  614.431      0.45978                 
  614.703      0.4587                  
  614.976      0.45455599999999996     
  615.248      0.45042699999999997     
  615.521      0.44553800000000005     
  615.794      0.440628                
  616.066      0.43621699999999997     
  616.339      0.43770400000000004     
  616.611      0.44633300000000004     
  616.884      0.45291800000000004     
  617.157      0.45919099999999996     
  617.429      0.46386900000000003     
  617.702      0.462708                
  617.974      0.455596                
  618.247      0.450705                
  618.52       0.448432                
  618.792      0.449458                
  619.065      0.44951300000000005     
  619.338      0.448047                
  619.61       0.451767                
  619.883      0.460324                
  620.155      0.462803                
  620.428      0.46248199999999995     
  620.701      0.46329800000000004     
  620.973      0.461161                
  621.246      0.45260300000000003     
  621.518      0.45242099999999996     
  621.791      0.462296                
  622.064      0.466048                
  622.336      0.46325099999999997     
  622.609      0.46294                 
  622.881      0.4762                  
  623.154      0.507539                
  623.427      0.534727                
  623.699      0.555522                
